reg_id,year,number,change,file
Peraturan_MA_2019_4,2019,4,Peraturan_MA_2015_2,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn942-2019.json
Peraturan_Perpusnas_2019_4,2019,4,Peraturan_Perpusnas_2015_7,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn427-2019.json
PERATURAN_BKPM_2019_4,2019,4,PERATURAN_BKPM_2015_4,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn683-2019.json
Permen_ESDM_2019_4,2019,4,Permen_ESDM_2018_44,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_720-2019.json
Permen_Naker_2019_4,2019,4,Permen_Naker_2017_18,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_463-2019.json
PERMENKO_PMK_2019_4,2019,4,PERMENKO_PMK_2017_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn958-2019.json
Permen_Perin_2019_4,2019,4,Permen_Perin_2017_11,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn216-2019.json
PERMEN_KOPUKM_2019_4,2019,4,PERMEN_KOPUKM_2017_05,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn903-2019.json
Permen_Agama_2019_39,2019,39,Permen_Agama_2017_23,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1567-2019.json
Permen_Dikbud_2019_39,2019,39,Permen_Dikbud_2013_96,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1177-2019.json
PP_2019_39,2019,39,PP_2008_28,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp39-2019bt.json
Permen_Agama_2019_38,2019,38,Permen_Agama_2017_21,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1566-2019.json
PP_2019_38,2019,38,PP_2017_24,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp38-2019bt.json
Permen_Agama_2019_37,2019,37,Permen_Agama_2017_19,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1565-2019.json
Permen_Tan_2019_36,2019,36,Permen_Tan_2019_07,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn833-2019.json
Permen_Dag_2019_36,2019,36,Permen_Dag_2018_4,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_623-2019.json
Permen_Dikbud_2019_35,2019,35,Permen_Dikbud_2019_3,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1168-2019.json
PP_2019_35,2019,35,PP_2016_19,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/pp35-2019bt.json
PERMEN_TAN_2019_34,2019,34,PERMEN_TAN_5_17,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn832-2019.json
Permen_Keu_2018_33,2018,33,Permen_Keu_2018_10,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn355-2019.json
Peraturan_BPOM_2019_33,2019,33,Peraturan_BPOM_2018_35,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1337-2019.json
PERMEN_TAN_2019_33,2019,33,PERMEN_TAN_4_14,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn805-2019.json
Peraturan_OJK_2019_32,2019,32,Peraturan_OJK_2017_19,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/ln/2019/ojk32-2019bt.json
Permen_Perin_2019_32,2019,32,Permen_Perin_2019_1,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1233-2019.json
Permen_Agama_2019_31,2019,31,Permen_Agama_2014_52,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn1503-2019.json
Permen_Perin_2019_31,2019,31,Permen_Perin_2017_01,E:/Ninggar/Mgstr/Penelitian/Data/files/new_parsed_files/bn/2019/bn_1232-2019_dis_ii.json
